,roles
383,SENIOR SOFTWARE DEVELOPMENT ENGINEER - SEARCH DATA AND MACHINE LEARNING SERVICE
384,SENIOR SOFTWARE DEVELOPMENT ENGINEER-TEST
385,SR SOFTWARE DEVELOPMENT ENGINEER - AWS EBS PERFORMANCE TEAM
386,SOFTWARE DEVELOPMENT ENGINEER - COMPUTER VISION
387,SOFTWARE DEVELOPMENT MANAGER - COMPUTER VISION
388,SOFTWARE DEVELOPMENT ENGINEER - ADVERTISING ANALYTICS
389,JUNIOR SOFTWARE DEVELOPMENT ENGINEER - AWS OPSWORKS
390,"SDET, ALEXA COMMUNICATIONS"
391,"SENIOR SDET, ALEXA COMMUNICATIONS"
392,SOFTWARE DEVELOPMENT MANAGER - AWS KEY MANAGEMENT SERVICE
393,SOFTWARE DEVELOPMENT ENGINEER JAVA/PYTHON/C# OR C++
394,SOFTWARE DEVELOPMENT ENGINEER - FRONTEND (AWS WORKMAIL TEAM)
395,SENIOR SOFTWARE DEVELOPMENT ENGINEER - AMAZON DEVICES
396,"SUPPORT ENGINEER, AMAZON ALEXA (CLOUD SERVICES)"
397,SR. SOFTWARE DEVELOPMENT ENGINEER - ALEXA VOICE SERVICE
398,SOFTWARE DEVELOPMENT ENGINEER-ANDROID
399,SENIOR SOFTWARE DEVELOPMENT ENGINEER
400,"SOFTWARE DEVELOPMENT ENGINEER, FRONT END SERVICES"
401,"SR. MANAGER, CONTAINER SERVICES"
